# commit cb4767ee08d42f2f5b270489d2a3cf1fd53d53bd
# frame ledger — one row per shot, written by the sim.
# Compared against the previous run's committed copy by
# tools/frame-drift.py, whose output goes into verdict.txt.
shot	meanLuma	maxLuma	brightPct	satPct	satStrength	meanRgb	brightRgb	camX	camZ	camYaw	lumaThirds	nearFrac	midFrac	farFrac	rain	wet
day1_noon	0.243	0.980	6.23	5.89	0.46	60,62,65	202,201,203	2.8	18.4	163	0.082/0.247/0.235	0.00	0.26	0.52	0.35	1.00
day1_dusk	0.135	0.948	0.89	2.00	0.40	38,32,32	201,196,196	2.8	2.3	73	0.024/0.047/0.176	0.00	0.23	0.40	0.35	1.00
day1_night	0.132	0.974	6.76	31.03	0.69	43,31,17	233,198,66	-27.3	-4.9	90	0.059/0.137/0.063	0.00	0.10	0.56	0.35	1.00
day2_noon	0.338	0.989	19.29	2.20	0.57	83,86,89	210,208,206	6.3	6.6	112	0.071/0.286/0.212	0.06	0.30	0.51	0.00	0.61
day2_wet	0.107	0.874	6.40	17.89	0.68	32,26,16	231,202,70	13.9	-1.9	352	0.106/0.043/0.035	0.00	0.15	0.77	0.90	1.00
day2_night	0.084	0.980	3.46	13.00	0.70	26,20,13	236,202,70	4.3	0.0	0	0.071/0.082/0.051	0.00	0.04	0.57	0.00	0.00
day3_noon	0.245	0.976	24.22	5.63	0.53	60,62,68	173,183,197	-4.8	10.8	110	0.047/0.106/0.518	0.00	0.38	0.39	0.90	1.00
day3_night	0.108	0.973	7.37	13.15	0.73	32,26,16	234,205,75	6.6	1.2	90	0.067/0.067/0.047	0.00	0.00	0.63	0.90	1.00
day4_noon	0.449	0.984	37.25	10.95	0.46	115,114,112	193,192,193	0.9	3.6	75	0.165/0.286/0.761	0.00	0.23	0.60	0.00	0.69
day4_night	0.076	0.964	3.98	8.35	0.77	22,18,13	241,208,69	11.5	1.3	90	0.055/0.059/0.043	0.00	0.00	0.58	0.00	0.32
day5_noon	0.441	0.984	32.23	9.07	0.46	112,112,111	195,195,195	3.3	1.2	42	0.733/0.161/0.463	0.00	0.23	0.63	0.00	0.00
district_hook	0.516	0.986	41.38	7.70	0.45	132,131,131	197,189,182	0.0	34.0	180	0.506/0.737/0.643	0.00	0.00	0.44	0.00	0.00
district_copper	0.591	0.976	57.38	4.23	0.44	150,150,152	197,192,189	0.0	162.8	180	0.722/0.749/0.608	0.00	0.00	0.05	0.00	0.00
district_ironside	0.593	0.976	63.91	1.66	0.50	146,152,158	184,186,190	70.6	-144.9	270	0.698/0.714/0.757	0.00	0.00	0.05	0.00	0.00
district_downtown	0.640	0.963	71.50	1.88	0.47	163,162,164	194,192,192	-365.5	73.1	180	0.737/0.741/0.710	0.00	0.00	0.05	0.00	0.00
district_strip	0.547	0.980	44.31	4.82	0.43	139,139,141	194,187,183	253.7	34.0	180	0.541/0.737/0.616	0.00	0.00	0.13	0.00	0.00
district_fairview	0.546	0.972	44.09	6.18	0.48	138,138,143	194,188,186	-344.0	178.9	180	0.620/0.733/0.592	0.00	0.00	0.31	0.00	0.00
district_gullwing	0.504	0.976	41.37	9.16	0.51	129,127,130	195,185,181	240.4	-147.2	270	0.694/0.702/0.714	0.00	0.00	0.37	0.00	0.00
ref_1	0.611	0.977	63.32	0.59	0.48	154,156,159	197,198,201	0.0	144.8	198	0.824/0.773/0.255	0.00	0.38	0.24	0.00	0.00
ref_2	0.639	0.989	67.39	0.36	0.49	161,163,165	199,199,199	0.0	43.9	180	0.553/0.800/0.651	0.00	0.43	0.18	0.00	0.00
ref_3	0.603	0.968	60.98	0.99	0.47	148,154,162	182,187,192	56.6	-144.9	270	0.580/0.592/0.478	0.00	0.40	0.14	0.00	0.00
ref_4	0.548	0.972	47.74	1.26	0.45	137,140,144	193,196,201	-344.0	162.9	180	0.298/0.808/0.365	0.00	0.40	0.36	0.00	0.00
ref_5	0.596	0.979	60.17	1.77	0.43	149,152,155	195,197,199	251.2	20.0	180	0.584/0.800/0.392	0.00	0.49	0.30	0.00	0.00
day5_night	0.104	0.979	7.62	12.24	0.76	31,26,15	237,205,68	11.6	3.4	90	0.067/0.059/0.047	0.00	0.25	0.36	0.00	0.00
day6_noon	0.174	0.984	3.47	1.88	0.55	43,44,47	168,171,176	8.8	-0.4	352	0.392/0.094/0.067	0.00	0.30	0.54	0.35	1.00
