# UE crime sequence keys 7a3fa3e @1788931443
# One line per sequence frame. tools/clip-from-frames.py --frame-keys reads
#   this and burns the bank's text for lineId on frames whose heard is yes.
frame=ue-crimeseq_000.png beat=approach_a speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_001.png beat=approach_a speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_002.png beat=approach_a speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_003.png beat=approach_a speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_004.png beat=at_window_a speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_005.png beat=at_window_a speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_006.png beat=at_window_a speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_007.png beat=deed_a speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_008.png beat=approach_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_009.png beat=approach_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_010.png beat=approach_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_011.png beat=approach_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_012.png beat=approach_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_013.png beat=at_window_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_014.png beat=at_window_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_015.png beat=deed_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_016.png beat=deed_b speaker=none lineId=none lineText=none lineTextSource=none/this-frame-carries-no-words lineTextEscape=spaces-are-~ heard=no
frame=ue-crimeseq_017.png beat=overheard speaker=w1 lineId=cw-ws-r3-02 lineText=You~hear~all~sorts.~The~man~that~did~the~window~looked~straight~in~at~the~shop~before~he~ran,~and~his~face~is~known~if~not~his~name,~apparently. lineTextSource=composed/StreetVoice.Exchange-around-the-carried-summary lineTextEscape=spaces-are-~ heard=yes
frame=ue-crimeseq_018.png beat=overheard speaker=w1 lineId=cw-ws-r3-02 lineText=You~hear~all~sorts.~The~man~that~did~the~window~looked~straight~in~at~the~shop~before~he~ran,~and~his~face~is~known~if~not~his~name,~apparently. lineTextSource=composed/StreetVoice.Exchange-around-the-carried-summary lineTextEscape=spaces-are-~ heard=yes
frame=ue-crimeseq_019.png beat=overheard speaker=w1 lineId=cw-ws-r3-02 lineText=You~hear~all~sorts.~The~man~that~did~the~window~looked~straight~in~at~the~shop~before~he~ran,~and~his~face~is~known~if~not~his~name,~apparently. lineTextSource=composed/StreetVoice.Exchange-around-the-carried-summary lineTextEscape=spaces-are-~ heard=yes
frame=ue-crimeseq_020.png beat=overheard speaker=w1 lineId=cw-ws-r3-02 lineText=You~hear~all~sorts.~The~man~that~did~the~window~looked~straight~in~at~the~shop~before~he~ran,~and~his~face~is~known~if~not~his~name,~apparently. lineTextSource=composed/StreetVoice.Exchange-around-the-carried-summary lineTextEscape=spaces-are-~ heard=yes
frame=ue-crimeseq_021.png beat=overheard speaker=w1 lineId=cw-ws-r3-02 lineText=You~hear~all~sorts.~The~man~that~did~the~window~looked~straight~in~at~the~shop~before~he~ran,~and~his~face~is~known~if~not~his~name,~apparently. lineTextSource=composed/StreetVoice.Exchange-around-the-carried-summary lineTextEscape=spaces-are-~ heard=yes
frame=ue-crimeseq_022.png beat=overheard speaker=n2 lineId=cw-ov-r3-02 lineText=God.~And~here? lineTextSource=picked/the-hearer-s-own-disposition-band/not-the-bank-s-rung lineTextEscape=spaces-are-~ heard=yes
frame=ue-crimeseq_023.png beat=overheard speaker=n2 lineId=cw-ov-r3-02 lineText=God.~And~here? lineTextSource=picked/the-hearer-s-own-disposition-band/not-the-bank-s-rung lineTextEscape=spaces-are-~ heard=yes
frame=ue-crimeseq_024.png beat=overheard speaker=n2 lineId=cw-ov-r3-02 lineText=God.~And~here? lineTextSource=picked/the-hearer-s-own-disposition-band/not-the-bank-s-rung lineTextEscape=spaces-are-~ heard=yes
