# D1 measurement a, Unity HISTORICAL round trips, derived from landed evidence.
# source commit -> the CI commit that published its verdict.
# A LOWER BOUND on a felt cycle: authoring time before the commit is
# not in it. It DOES include runner queue wait, deliberately, because
# waiting behind a queue is time the edit costs.
# answered=no means the round trip was spent and returned nothing
# (NO PLAYER LOG). Those rows stay in the elapsed series; they are
# reported separately as a rate, never quietly dropped.
# rows=369 skippedCiPublishes=0 nonCiCommitsSeen=0
# srcSha	srcIso	ciSha	ciIso	minutes	answered
e57ee19	2026-08-01T01:11:57Z	f6e3e28	2026-08-01T01:35:49Z	23.87	unknown
f9b4242	2026-08-01T01:48:25Z	b349c06	2026-08-01T02:12:45Z	24.33	unknown
8fb815a	2026-08-01T02:26:50Z	60661a7	2026-08-01T02:59:51Z	33.02	unknown
b92e74d	2026-08-01T03:07:31Z	d4213ef	2026-08-01T03:30:09Z	22.63	unknown
030d27a	2026-08-01T03:44:25Z	4616f8a	2026-08-01T04:08:30Z	24.08	unknown
60c4b6a	2026-08-01T04:23:12Z	001822b	2026-08-01T04:46:16Z	23.07	unknown
df08846	2026-08-01T05:53:36Z	91e1b29	2026-08-01T06:20:42Z	27.10	unknown
9708a8d	2026-08-01T06:26:24Z	68b8ce0	2026-08-01T06:51:33Z	25.15	unknown
2cd11c2	2026-08-01T07:03:37Z	ab37387	2026-08-01T07:26:51Z	23.23	unknown
b32b0fe	2026-08-01T07:27:50Z	bbdc163	2026-08-01T07:51:23Z	23.55	unknown
05b6997	2026-08-01T07:55:58Z	7fea043	2026-08-01T08:19:43Z	23.75	unknown
1de5665	2026-08-01T08:36:40Z	7ab156e	2026-08-01T08:57:56Z	21.27	unknown
ce6b1bc	2026-08-01T09:14:11Z	4f56aee	2026-08-01T09:38:03Z	23.87	unknown
b304dbd	2026-08-01T10:45:20Z	5b0b22f	2026-08-01T11:08:55Z	23.58	unknown
140f7a2	2026-08-01T11:10:37Z	7edfdd3	2026-08-01T11:32:32Z	21.92	unknown
fbb1865	2026-08-01T11:40:49Z	19a1f1a	2026-08-01T12:05:30Z	24.68	unknown
0a79489	2026-08-01T12:39:24Z	8dac2e4	2026-08-01T13:03:14Z	23.83	unknown
45c96bc	2026-08-01T13:13:18Z	deb4998	2026-08-01T14:22:33Z	69.25	unknown
4eb4104	2026-08-03T12:07:11Z	e1e2ea2	2026-08-03T12:41:25Z	34.23	unknown
9515eff	2026-08-03T12:44:00Z	fdaf4ae	2026-08-03T13:12:12Z	28.20	unknown
20db823	2026-08-03T13:16:14Z	a8adeea	2026-08-03T13:41:44Z	25.50	unknown
c01179c	2026-08-03T13:43:53Z	94c8b78	2026-08-03T14:07:59Z	24.10	unknown
4f3a42c	2026-08-03T14:11:20Z	c62a2b4	2026-08-03T14:40:14Z	28.90	unknown
902405f	2026-08-03T14:48:33Z	21a5706	2026-08-03T15:13:22Z	24.82	yes
c62a2b4	2026-08-03T14:40:14Z	2244376	2026-08-03T15:30:30Z	50.27	yes
6157198	2026-08-03T15:19:21Z	8e3db48	2026-08-03T15:50:46Z	31.42	yes
4ca31e7	2026-08-03T16:23:25Z	9ef5187	2026-08-03T16:54:06Z	30.68	yes
3ba5a45	2026-08-03T16:24:53Z	5524d36	2026-08-03T16:56:47Z	31.90	yes
dce8fc3	2026-08-03T16:59:30Z	656d4c8	2026-08-03T17:23:11Z	23.68	yes
6361b67	2026-08-03T18:23:38Z	cd89abc	2026-08-03T18:47:37Z	23.98	yes
9d68ee5	2026-08-03T18:44:49Z	3999213	2026-08-03T19:08:47Z	23.97	yes
